time,step-size,{Controller}.C.motor_tau,{Model}.M.theta
0.0,0.0,0.0,0.0
0.1,0.1,0.0,0.0
0.2,0.1,0.0,-0.09810000000000002
0.30000000000000004,0.1,0.0,-0.28449000000000013
0.4,0.1,0.0,-0.24738071536727532
0.5,0.1,0.0,0.39431786374858846
0.6,0.1,0.0,1.0307775164190596
0.7,0.1,0.0,-0.4986467047385945
0.7999999999999999,0.1,0.0,-4.865699907332102
0.8999999999999999,0.1,0.0,-5.369389902779007
0.9999999999999999,0.1,0.0,9.429474704465264
1.0999999999999999,0.1,0.0,30.730869095472368
1.2,0.1,0.0,6.39289739345779
1.3,0.1,0.0,-102.02380279469706
1.4000000000000001,0.1,0.0,-159.8092110639259
1.5000000000000002,0.1,0.0,148.91879772732455
1.6000000000000003,0.1,0.0,764.8049098954173
1.7000000000000004,0.1,0.0,484.9381534473393
1.8000000000000005,0.1,0.0,-2078.6428684040197
1.9000000000000006,0.1,0.0,-4491.594973258603
2.0000000000000004,0.1,0.0,1420.635284998165
2.1000000000000005,0.1,0.0,17865.085598203754
2.2000000000000006,0.1,0.0,18692.700130164656
2.3000000000000007,0.1,0.0,-38713.34565499908
2.400000000000001,0.1,0.0,-117979.19737155038
2.500000000000001,0.1,0.0,-19124.572890490497
2.600000000000001,0.1,0.0,394310.63566836645
2.700000000000001,0.1,0.0,592262.4044093194
2.800000000000001,0.1,0.0,-615477.0372226005
2.9000000000000012,0.1,0.0,-2925419.6779200803
3.0000000000000013,0.1,0.0,-1699583.4537497617
3.1000000000000014,0.1,0.0,8148417.119318881
3.2000000000000015,0.1,0.0,1.687993021288934E7
3.3000000000000016,0.1,0.0,-6548688.345349673
3.4000000000000017,0.1,0.0,-6.876151440775098E7
3.5000000000000018,0.1,0.0,-6.811865522158006E7
3.600000000000002,0.1,0.0,1.5407565869634974E8
3.700000000000002,0.1,0.0,4.4719259941784954E8
3.800000000000002,0.1,0.0,4.636845303531754E7
3.900000000000002,0.1,0.0,-1.529367458732863E9
4.000000000000002,0.1,0.0,-2.1982406051764784E9
4.100000000000001,0.1,0.0,2.5186264929928274E9
4.200000000000001,0.1,0.0,1.1169337020028008E10
4.300000000000001,0.1,0.0,5.888747568133262E9
4.4,0.1,0.0,-3.190905759994751E10
4.5,0.1,0.0,-6.337350419193178E10
4.6,0.1,0.0,2.9271307998922684E10
4.699999999999999,0.1,0.0,2.6438486232207007E11
4.799999999999999,0.1,0.0,2.4735489616237952E11
4.899999999999999,0.1,0.0,-6.117688671780363E11
4.999999999999998,0.1,0.0,-1.6933724746804077E12
5.099999999999998,0.1,0.0,-7.47739919167876E10
5.1999999999999975,0.1,0.0,5.925238459945111E12
5.299999999999997,0.1,0.0,8.143547603798867E12
5.399999999999997,0.1,0.0,-1.0253976514334293E13
5.4999999999999964,0.1,0.0,-4.260547578035699E13
5.599999999999996,0.1,0.0,-2.0161949643790695E13
5.699999999999996,0.1,0.0,1.2477595890534816E14
5.799999999999995,0.1,0.0,2.376196296498098E14
5.899999999999995,0.1,0.0,-1.2801377734887031E14
5.999999999999995,0.1,0.0,-1.0155911894755692E15
6.099999999999994,0.1,0.0,-8.947686087329009E14
6.199999999999994,0.1,0.0,2.4236698133498465E15
6.299999999999994,0.1,0.0,6.405624922239284E15
6.399999999999993,0.1,0.0,-1.0670294248585E14
6.499999999999993,0.1,0.0,-2.2931674335094384E16
6.5999999999999925,0.1,0.0,-3.0107700654220672E16
6.699999999999992,0.1,0.0,4.155813975421832E16
6.799999999999992,0.1,0.0,1.62367563078808832E17
6.8999999999999915,0.1,0.0,6.8010521955960688E16
6.999999999999991,0.1,0.0,-4.8724932788113728E17
7.099999999999991,0.1,0.0,-8.8975745361415053E17
7.19999999999999,0.1,0.0,5.5060713003911181E17
7.29999999999999,0.1,0.0,3.8975868205367916E18
7.39999999999999,0.1,0.0,3.2228449028278866E18
7.499999999999989,0.1,0.0,-9.582037308690307E18
7.599999999999989,0.1,0.0,-2.420535700102088E19
7.699999999999989,0.1,0.0,1.91012685951717786E18
7.799999999999988,0.1,0.0,8.8656858962449E19
7.899999999999988,0.1,0.0,1.110721861906473E20
7.999999999999988,0.1,0.0,-1.6775288857594547E20
8.099999999999987,0.1,0.0,-6.181955951833506E20
8.199999999999987,0.1,0.0,-2.250538870220359E20
8.299999999999986,0.1,0.0,1.9001990399199357E21
8.399999999999986,0.1,0.0,3.3269794693123785E21
8.499999999999986,0.1,0.0,-2.337322476376308E21
8.599999999999985,0.1,0.0,-1.4944102385993873E22
8.699999999999985,0.1,0.0,-1.155228321953802E22
8.799999999999985,0.1,0.0,3.780926016296185E22
8.899999999999984,0.1,0.0,9.136736008366975E22
8.999999999999984,0.1,0.0,-1.3045517174750918E22
9.099999999999984,0.1,0.0,-3.424089350660131E23
9.199999999999983,0.1,0.0,-4.0881458220052306E23
9.299999999999983,0.1,0.0,6.747031788299439E23
9.399999999999983,0.1,0.0,2.351481019692589E24
9.499999999999982,0.1,0.0,7.258131648497576E23
9.599999999999982,0.1,0.0,-7.401097835938819E24
9.699999999999982,0.1,0.0,-1.2421936283901336E25
9.799999999999981,0.1,0.0,9.816706488980577E24
9.89999999999998,0.1,0.0,5.724570408197719E25
9.99999999999998,0.1,0.0,4.118163078471776E25
