time,step-size,{Controller}.C.motor_tau,{Model}.M.theta
0.0,0.0,0.0,0.0
0.01,0.01,0.0,0.0
0.02,0.01,0.0,-9.81E-4
0.03,0.01,0.0,-0.00293319
0.04,0.01,0.0,-0.005816608765461968
0.05,0.01,0.0,-0.009563492623600622
0.060000000000000005,0.01,0.0,-0.014081437637044798
0.07,0.01,0.0,-0.019257245279788775
0.08,0.01,0.0,-0.024961304527723358
0.09,0.01,0.0,-0.03105235129803933
0.09999999999999999,0.01,0.0,-0.03738243960836696
0.10999999999999999,0.01,0.0,-0.043801957694893714
0.11999999999999998,0.01,0.0,-0.05016452648832585
0.12999999999999998,0.01,0.0,-0.05633162700663055
0.13999999999999999,0.01,0.0,-0.06217681695330531
0.15,0.01,0.0,-0.06758941455214185
0.16,0.01,0.0,-0.07247754873662866
0.17,0.01,0.0,-0.07677049848653124
0.18000000000000002,0.01,0.0,-0.08042026954090026
0.19000000000000003,0.01,0.0,-0.08340238304977529
0.20000000000000004,0.01,0.0,-0.0857158770773485
0.21000000000000005,0.01,0.0,-0.08738254737524381
0.22000000000000006,0.01,0.0,-0.08844547769006718
0.23000000000000007,0.01,0.0,-0.08896693131322214
0.24000000000000007,0.01,0.0,-0.08902569398186161
0.25000000000000006,0.01,0.0,-0.08871397307786018
0.26000000000000006,0.01,0.0,-0.08813396896466331
0.2700000000000001,0.01,0.0,-0.08739424101579421
0.2800000000000001,0.01,0.0,-0.08660599334199684
0.2900000000000001,0.01,0.0,-0.0858794034849147
0.3000000000000001,0.01,0.0,-0.08532011162422055
0.3100000000000001,0.01,0.0,-0.08502597848092797
0.3200000000000001,0.01,0.0,-0.08508420754125709
0.3300000000000001,0.01,0.0,-0.08556891201090278
0.34000000000000014,0.01,0.0,-0.08653918964241349
0.35000000000000014,0.01,0.0,-0.08803774990340048
0.36000000000000015,0.01,0.0,-0.09009011853233691
0.37000000000000016,0.01,0.0,-0.09270442501786835
0.38000000000000017,0.01,0.0,-0.09587175956619137
0.3900000000000002,0.01,0.0,-0.09956706827332763
0.4000000000000002,0.01,0.0,-0.10375053901836243
0.4100000000000002,0.01,0.0,-0.10836941648977995
0.4200000000000002,0.01,0.0,-0.11336017311659045
0.4300000000000002,0.01,0.0,-0.11865095377570196
0.4400000000000002,0.01,0.0,-0.12416420616958579
0.45000000000000023,0.01,0.0,-0.12981940580080975
0.46000000000000024,0.01,0.0,-0.13553578450492487
0.47000000000000025,0.01,0.0,-0.14123497444152894
0.48000000000000026,0.01,0.0,-0.1468434851001197
0.49000000000000027,0.01,0.0,-0.15229493898909963
0.5000000000000002,0.01,0.0,-0.15753200191049332
0.5100000000000002,0.01,0.0,-0.16250795568940501
0.5200000000000002,0.01,0.0,-0.1671878744911268
0.5300000000000002,0.01,0.0,-0.17154937995494818
0.5400000000000003,0.01,0.0,-0.1755829648219864
0.5500000000000003,0.01,0.0,-0.17929188905550522
0.5600000000000003,0.01,0.0,-0.18269166618364088
0.5700000000000003,0.01,0.0,-0.18580917030546515
0.5800000000000003,0.01,0.0,-0.18868140550690263
0.5900000000000003,0.01,0.0,-0.1913539890060689
0.6000000000000003,0.01,0.0,-0.19387940692868516
0.6100000000000003,0.01,0.0,-0.19631510701874805
0.6200000000000003,0.01,0.0,-0.1987214957119932
0.6300000000000003,0.01,0.0,-0.20115990781442813
0.6400000000000003,0.01,0.0,-0.20369061558813387
0.6500000000000004,0.01,0.0,-0.20637094047802593
0.6600000000000004,0.01,0.0,-0.2092535252090628
0.6700000000000004,0.01,0.0,-0.21238481679331195
0.6800000000000004,0.01,0.0,-0.21580380240630118
0.6900000000000004,0.01,0.0,-0.21954103045236534
0.7000000000000004,0.01,0.0,-0.2236179387910651
0.7100000000000004,0.01,0.0,-0.22804650140211563
0.7200000000000004,0.01,0.0,-0.2328291940824537
0.7300000000000004,0.01,0.0,-0.2379592694394858
0.7400000000000004,0.01,0.0,-0.24342132178790427
0.7500000000000004,0.01,0.0,-0.24919211385882004
0.7600000000000005,0.01,0.0,-0.2552416297334176
0.7700000000000005,0.01,0.0,-0.26153431231611196
0.7800000000000005,0.01,0.0,-0.2680304391104951
0.7900000000000005,0.01,0.0,-0.2746875871478486
0.8000000000000005,0.01,0.0,-0.28146213668085684
0.8100000000000005,0.01,0.0,-0.2883107636787374
0.8200000000000005,0.01,0.0,-0.2951918731769933
0.8300000000000005,0.01,0.0,-0.30206692902997334
0.8400000000000005,0.01,0.0,-0.3089016404287337
